bagid,naam,adamlink
363300000003258,Dijkmanpad,https://adamlink.nl/geo/street/dijkmanpad/1006
363300000003259,Dijkmanshuizenstraat,https://adamlink.nl/geo/street/dijkmanshuizenstraat/1007
363300011290590,Dillehof,https://adamlink.nl/geo/street/dillehof/5320
363300000001414,Dinarpromenade,https://adamlink.nl/geo/street/dinarpromenade/1018
363300000003272,"Dirk Wittehof",https://adamlink.nl/geo/street/dirk-wittehof/1028
363300000003273,Dirkshornplantsoen,https://adamlink.nl/geo/street/dirkshornplantsoen/1029
363300000003276,Distelkade,https://adamlink.nl/geo/street/distelkade/1035
363300000005763,Djakartaterras,https://adamlink.nl/geo/street/djakartaterras/1041
363300000003286,Dolfijnhof,https://adamlink.nl/geo/street/dolfijnhof/1049
363300000006064,Dollardpad,https://adamlink.nl/geo/street/dollardpad/1053
363300000005928,"Dom H. van der Laanstraat",https://adamlink.nl/geo/street/dom-h-van-der-laanstraat/1056
363300000003295,Doornburg,https://adamlink.nl/geo/street/doornburg/1066
363300000003298,"Dorus Rijkershof",https://adamlink.nl/geo/street/dorus-rijkershof/1079
457300000000196,"Dr.J.Th.de Visserlaan",https://adamlink.nl/geo/street/drjthde-visserlaan/8935
363300000003311,Droogbak,https://adamlink.nl/geo/street/droogbak/1098
363300000003313,Drusiushof,https://adamlink.nl/geo/street/drusiushof/1101
363300000003314,"Du Perronstraat",https://adamlink.nl/geo/street/du-perronstraat/1102
363300000003317,Dubbelmondehof,https://adamlink.nl/geo/street/dubbelmondehof/1108
363300000003318,"Dudok de Withof",https://adamlink.nl/geo/street/dudok-de-withof/1109
363300000003321,Duinbeek,https://adamlink.nl/geo/street/duinbeek/1113
363300000003322,Duindoornplein,https://adamlink.nl/geo/street/duindoornplein/1114
363300011951206,Duinlustpad,https://adamlink.nl/geo/street/duinlustpad/6420
363300000002782,Duivendrechtsekade,https://adamlink.nl/geo/street/duivendrechtsekade/1118
363300000001239,"Duke Ellingtonstraat",https://adamlink.nl/geo/street/duke-ellingtonstraat/1123
363300000002786,Durgerdammerdijk,https://adamlink.nl/geo/street/durgerdammerdijk/1129
363300000002789,"Dwars Spinhuissteeg",https://adamlink.nl/geo/street/dwars-spinhuissteeg/1132
363300000005663,Dwarswatering,https://adamlink.nl/geo/street/dwarswatering/1133
363300000005602,Echtenstein,https://adamlink.nl/geo/street/echtenstein/1140
363300000002791,Eckeharthof,https://adamlink.nl/geo/street/eckeharthof/1141
363300000002792,Eclipshof,https://adamlink.nl/geo/street/eclipshof/1142
363300000001405,Ecuplein,https://adamlink.nl/geo/street/ecuplein/1143
363300000002793,Edammerpad,https://adamlink.nl/geo/street/edammerpad/1146
363300000002795,Edisonstraat,https://adamlink.nl/geo/street/edisonstraat/1149
363300000001630,"Eduard Hellendoornstraat",https://adamlink.nl/geo/street/eduard-hellendoornstraat/1153
363300000002796,"Eduard Jacobshof",https://adamlink.nl/geo/street/eduard-jacobshof/1154
363300000002797,"Eduard Meijerstraat",https://adamlink.nl/geo/street/eduard-meijerstraat/1155
363300000002802,Eenhoornhof,https://adamlink.nl/geo/street/eenhoornhof/1165
363300000002547,"Eerste Kostverlorenkade",https://adamlink.nl/geo/street/eerste-kostverlorenkade/1185
363300000001104,"Efua Sutherlandstraat",https://adamlink.nl/geo/street/efua-sutherlandstraat/1208
363300000005604,Egeldonk,https://adamlink.nl/geo/street/egeldonk/1211
363300001976761,EGoliplein,https://adamlink.nl/geo/street/egoliplein/1217
363300000002809,Ehrlichstraat,https://adamlink.nl/geo/street/ehrlichstraat/1219
363300000001427,Eiger,https://adamlink.nl/geo/street/eiger/1221
363300000002811,Eijkmanstraat,https://adamlink.nl/geo/street/eijkmanstraat/1222
363300000002814,Einthovenstraat,https://adamlink.nl/geo/street/einthovenstraat/1226
363300000002821,Elegaststraat,https://adamlink.nl/geo/street/elegaststraat/1235
363300011951260,"Elizabeth Cady Stantonplein",https://adamlink.nl/geo/street/elizabeth-cady-stantonplein/6435
363300000002830,"Emanuel van Meterenstraat",https://adamlink.nl/geo/street/emanuel-van-meterenstraat/1248
363300000001102,"Emmeline Pankhurststraat",https://adamlink.nl/geo/street/emmeline-pankhurststraat/1253
363300000001141,Entrepotbrug,https://adamlink.nl/geo/street/entrepotbrug/1266
363300000005605,Entrepotdok,https://adamlink.nl/geo/street/entrepotdok/1267
363300000001260,Entrepothof,https://adamlink.nl/geo/street/entrepothof/1270
363300000002844,Epicurusstraat,https://adamlink.nl/geo/street/epicurusstraat/1274
363300000001632,"Ernst Cahnsingel",https://adamlink.nl/geo/street/ernst-cahnsingel/1282
363300000001408,Eurokade,https://adamlink.nl/geo/street/eurokade/1292
363300000002855,"Everard van Reijdhof",https://adamlink.nl/geo/street/everard-van-reijdhof/1296
363300000002858,"Ewoud Worststraat",https://adamlink.nl/geo/street/ewoud-worststraat/1301
363300000002859,"F.C. Dondersstraat",https://adamlink.nl/geo/street/fc-dondersstraat/1314
363300000002861,Fahrenheitsingel,https://adamlink.nl/geo/street/fahrenheitsingel/1305
363300000002446,"Fanny Blankers-Koenlaan",https://adamlink.nl/geo/street/fanny-blankerskoenlaan/5323
363300000001390,"Fanny Durackstraat",https://adamlink.nl/geo/street/fanny-durackstraat/1310
363300000001122,Februariplein,https://adamlink.nl/geo/street/februariplein/1315
363300000002870,Ferguutstraat,https://adamlink.nl/geo/street/ferguutstraat/1320
363300000002871,Ferrarisstraat,https://adamlink.nl/geo/street/ferrarisstraat/1321
363300000002873,Fibigerstraat,https://adamlink.nl/geo/street/fibigerstraat/1323
363300000005828,"Fien de la Mar Straat",https://adamlink.nl/geo/street/fien-de-la-mar-straat/6440
363300000002874,"Fijnje van Salverdastraat",https://adamlink.nl/geo/street/fijnje-van-salverdastraat/1325
363300000002879,Flammarionstraat,https://adamlink.nl/geo/street/flammarionstraat/1331
363300000002880,Fleerde,
363300000002881,Flevopark,
363300000002887,Florijn,
363300000002885,"Floris van der Laakenstraat",https://adamlink.nl/geo/street/floris-van-der-laakenstraat/1344
363300000002891,Foersterhof,https://adamlink.nl/geo/street/foersterhof/1350
363300000000938,Fraijlemaborg,https://adamlink.nl/geo/street/fraijlemaborg/1366
363300000002896,"Franciscus Claessenstraat",https://adamlink.nl/geo/street/franciscus-claessenstraat/1369
363300000002897,"Frank van der Goesstraat",https://adamlink.nl/geo/street/frank-van-der-goesstraat/1370
363300000001277,"Frans de Vrengpad",https://adamlink.nl/geo/street/frans-de-vrengpad/1375
363300000002901,"Frans Naerebouthof",https://adamlink.nl/geo/street/frans-naerebouthof/1379
363300000001144,Fregelaan,https://adamlink.nl/geo/street/fregelaan/1395
363300000003658,"Fridtjof Nansenhof",https://adamlink.nl/geo/street/fridtjof-nansenhof/1398
363300000003660,Frissenstein,https://adamlink.nl/geo/street/frissenstein/1400
363300000000896,Funenpark,https://adamlink.nl/geo/street/funenpark/1408
363300000001032,Gaffelaarspad,https://adamlink.nl/geo/street/gaffelaarspad/1419
363300000003671,Gageldonk,https://adamlink.nl/geo/street/gageldonk/1421
363300000005642,Garstkamp,https://adamlink.nl/geo/street/garstkamp/1438
363300000005608,Geerdinkhof,https://adamlink.nl/geo/street/geerdinkhof/1451
363300000005773,Geldershoofd,https://adamlink.nl/geo/street/geldershoofd/1461
363300000003691,Generatorstraat,https://adamlink.nl/geo/street/generatorstraat/1467
363300000003692,Genhoes,https://adamlink.nl/geo/street/genhoes/1468
363300000001268,"George Ortonpad",https://adamlink.nl/geo/street/george-ortonpad/1474
363300000001266,"George Sandstraat",https://adamlink.nl/geo/street/george-sandstraat/1475
